recipient,region,SIDS,income,total_commitment,commitment_per_capita,ECON_vulnerability,ENV_vulnerability,ECON_lack_resilience,ENV_lack_resilience,CRDF_PER_CAPITA_2015,CRDF_PER_CAPITA_2016,CRDF_PER_CAPITA_2017,CRDF_PER_CAPITA_2018,CRDF_PER_CAPITA_2019,CRDF_PER_CAPITA_2020,CRDF_PER_CAPITA_2021,CRDF_PER_CAPITA_2022,CRDF_PER_CAPITA_2023
Afghanistan,Asia,0,LDCs,2844889469.8544245,75.23213637905025,55.793631833227764,52.7600656617443,50.7922770709818,72.51807679712188,6.752987093137451,8.148990317204875,9.010911651778693,10.635208762777635,7.786046609671802,8.731772139118787,6.977186882499891,7.145893607065199,10.043139315795912
Albania,Europe,0,UMICs,2248196212.6767364,887.890734167046,,,,,38.149020718120084,109.58978646770541,30.135995354785813,58.62920868421407,116.49956015461198,87.36226202931442,154.81800622940423,118.27177137523641,174.43512315365365
Algeria,Africa,0,LMICs,307531715.61690676,7.079897047036765,58.07797939059003,60.290424276695234,19.683497342101923,77.48165732850819,0.6617568348101235,0.511669453237947,0.686018785847264,1.3237689294858819,0.5269992715284827,0.9398359984093677,0.2410748383385485,1.109938225265133,1.0788347101140159
Angola,Africa,0,LDCs,2491978058.150858,74.24368573979,60.95441540083595,35.55455706928214,47.24306714102821,49.16040496078763,7.210890459073727,0.8486063563068538,3.124956001280249,6.085875075480649,6.254915649133043,15.490310546844498,8.16731037051788,16.125338086686114,10.935483194466986
Antigua and Barbuda,Latin America & the Caribbean,1,MADCTs,92605825.47577956,1017.6904826076573,70.08224363776748,74.01479211626653,59.80417181513176,67.84777494749675,128.53586586088662,10.799487044369744,309.41533959628293,107.2190122565131,46.497788395972506,383.4820039099153,31.740985543716967,0.0,0.0
Argentina,Latin America & the Caribbean,0,UMICs,11460585279.824955,254.66193793943876,23.79946850597193,43.57207989761389,63.46682662161154,53.978632332379135,6.971301378501301,8.859812704243778,45.69994707436506,25.382773658513848,13.571893522255415,11.94170825379135,38.8914160206352,55.951249521395575,47.39183580573724
Armenia,Asia,0,UMICs,1425109214.4220471,479.1098488179571,39.01542438032169,40.492154862207386,42.64320677615427,67.78466060145908,56.60997538418419,52.63237310757792,59.16189068507806,32.39272985442837,52.66307725304111,19.114424811235992,76.45305670690801,78.45526086986096,51.62706014564245
Azerbaijan,Asia,0,UMICs,1017240989.1401764,102.16608930189786,55.192297614836015,44.9809029279735,44.170535886122664,65.64249649616448,3.101338963048384,18.164356611351746,30.27305923176996,2.169944019386265,11.710468375857477,1.600381253196375,5.622926836804925,11.226865184944526,18.2967488255382
Bangladesh,Asia,0,LDCs,33064640185.050697,198.6650684945051,53.58666941691002,49.11543030885321,24.43602510478032,73.76064254091835,11.41236698641021,17.349678574339638,8.203025087796496,23.449400216327128,20.479874028031002,30.543117629623953,19.833844065852777,22.59935640357554,44.79440550254836
Belarus,Europe,0,UMICs,827041065.4131134,87.73363606226513,,,,,6.476404238410972,2.3138033392114137,0.7770356927863248,25.07138876166383,47.035887398959225,5.78845392570944,0.09837455209380196,0.10177154963168913,0.07051660379843845
Belize,Latin America & the Caribbean,1,UMICs,252899619.16575354,647.7811832709781,60.50710894403069,62.87624248598234,61.69430000649142,29.313882528912245,42.4273400043785,17.600769934194982,76.24437866478748,58.998567974495366,57.28784460512917,94.89512988191656,64.61599835801653,138.83775089889414,96.87340294916538
Benin,Africa,0,LDCs,3437930633.54446,261.7335054656862,48.82417353594358,43.33980535525651,39.82490687951239,51.43904141410945,12.27696531290955,9.51362540956797,25.12806579532837,23.679844013096517,33.707871766372136,22.73594748461426,32.29398757651735,36.59006900486659,65.80712910241351
Bhutan,Asia,0,LMICs,575258964.7704008,754.336709798914,48.81622334972872,34.1588545304717,46.36139125679614,43.573617964588394,196.70260469939583,74.20537636984139,54.08123637128092,11.682410163130866,62.28353082680467,58.23071618865856,91.43196968567662,134.847035563292,70.87182993083309
Bolivia,Latin America & the Caribbean,0,LMICs,5356801866.3299675,461.7583005283402,27.040564122846995,43.41640813788473,68.11482183299756,28.88246564307025,42.89225869049378,44.53736002458524,127.625755685367,47.585208548753876,42.382266563151894,18.957998092076352,14.81602663393633,60.82770259417483,62.13372369580096
Bosnia and Herzegovina,Europe,0,UMICs,1653911015.4587624,497.4064621300362,,,,,14.024180811406922,48.636607628190134,64.82767777828224,36.464199151240706,113.56603270069996,51.98052656367687,45.55989728716238,46.11960508546602,76.22773512391099
Botswana,Africa,0,UMICs,499543650.9535291,210.3595835275788,64.11429941711755,52.90843191980245,67.79620546421643,74.83795953421432,1.445190141560318,0.6878561876092687,65.29655723076253,1.043149415849374,3.4874678679849698,8.697830047368718,71.17558858653531,9.43277716208194,49.093166887826364
